document,title,category
 gravitation as a many body problem he idea of viewing gravitation as a many body phenomenon is put forward here physical arguments supporting this idea are briefly reviewed the basic mathematical object of the new gravitational mechanics is a matrix of operators striking similarity of the method of r matrix qism to the mathematical formulation of the new gravitational mechanics is pointed out the s wave difference schrodinger equation describing a process of emission of radiation by a gravitating particle is shown to be analogous to the baxter equation of the qism, gravitation as a many body problem,Exactly Solvable and Integrable
 correlation lengths and e 8 mass spectrum of the dilute a 3 lattice model the exact perturbation approach is used to derive the elementary correlation lengths  xi i and related mass gaps m i of the two dimensional dilute a l lattice model in regimes 1 and 2 for l odd from the bethe ansatz solution in regime 2 the a 3 model is the e 8 lattice realisation of the two dimensional ising model in a magnetic field at t t c the calculations for the a 3 model in regime 2 start from the eight thermodynamically significant string types found in previous numerical studies these string types are seen to be consistent in the ordered high field limit the eight masses obtained reduce with the approach to criticality to the e 8 masses predicted by zamolodchikov thus providing a further direct lattice determination of the e 8 mass spectrum , correlation lengths and e 8 mass spectrum of the dilute a 3 lattice model,Statistical Mechanics
 non perturbative superpotentials in landau ginzburg compactification we study the landau ginzburg models which correspond to calabi yau four folds we construct the index of the typical states which correspond to toric divisors this index shows that whether a corresponding divisor can generate a non perturbative superpotential for an application we consider the phase transition in terms of the orbifold construction we obtain the simple method by which the divisor which can not generate a superpotential in the original theory can generate a superpotential after orbifoldization , non perturbative superpotentials in landau ginzburg compactification,Algebraic Geometry
 evolution of ward takahashi relations and how i used them he story of ward takahashi relations and their impact on physical theory is reviewed, evolution of ward takahashi relations and how i used them,History of Physics
 string orthogonal polynomials string equations and 2 toda symmetries  1 the 2 toda lattice and its generic symmetries  2 a larger class of symmetries for special initial conditions  3 borel decomposition of moment matrices tau functions and string orthogonal polynomials  4 from string orthogonal polynomials to the 2 toda lattice and the string equation  5 virasoro constraints on two matrix integrals, string orthogonal polynomials string equations and 2 toda symmetries ,Exactly Solvable and Integrable
 sheaves on toric varieties for physics in this paper we give an inherently toric description of a special class of sheaves known as equivariant sheaves over toric varieties due in part to a  a klyachko we apply this technology to heterotic compactifications in particular to the 0 2 models of distler kachru and also discuss how knowledge of equivariant sheaves can be used to reconstruct information about an entire moduli space of sheaves many results relevant to heterotic compactifications previously known only to mathematicians are collected here   for example results concerning whether the restriction of a stable sheaf to a calabi yau hypersurface remains stable are stated we also describe substructure in the kahler cone in which moduli spaces of sheaves are independent of kahler class only within any one subcone we study f theory compactifications in light of this fact and also discuss how it can be seen in the context of equivariant sheaves on toric varieties finally we briefly speculate on the application of these results to 0 2 mirror symmetry , sheaves on toric varieties for physics,Algebraic Geometry
 symmetries of large n matrix models for closed strings we obtain the symmetry algebra of multi matrix models in the planar large n limit we use this algebra to associate these matrix models with quantum spin chains in particular certain multi matrix models are exactly solved by using known results of solvable spin chain systems , symmetries of large n matrix models for closed strings,Exactly Solvable and Integrable
 embedding diagrams of n 2 verma modules and relaxed sl 2 verma modules we classify and explicitly construct the embedding diagrams of verma modules over the n 2 supersymmetric extension of the virasoro algebra the essential ingredient of the solution consists in drawing the distinction between two different types of submodules appearing in n 2 verma modules the problem is simplified by associating to every n 2 verma module a relaxed verma module over the affine algebra sl 2 with an isomorphic embedding diagram we then make use of the mechanism according to which the structure of the n 2 relaxed sl 2  embedding diagrams can be found knowing the standard embedding diagrams of  sl 2 verma modules the resulting classification of the n 2 relaxed sl 2  embedding diagrams follows the i ii iii pattern extended by an additional indication of the number 0 1 or 2 and the twists of the standard sl 2  embedding diagrams contained in a given n 2 relaxed sl 2 embedding diagram , embedding diagrams of n 2 verma modules and relaxed sl 2 verma modules,Quantum Algebra
 first order vortex dynamics a non dissipative model for vortex motion in thin superconductors is considered the lagrangian is a galilean invariant version of the ginzburg landau model for time dependent fields with kinetic terms linear in the first time derivatives of the fields it is shown how for certain values of the coupling constants the field dynamics can be reduced to first order differential equations for the vortex positions two vortices circle around one another at constant speed and separation in this model , first order vortex dynamics,Superconductivity
 reducible connections in massless topological qcd and 4 manifolds a role of reducible connections in non abelian seiberg witten invariants is analyzed with massless topological qcd where monopole is extended to non abelian groups version by giving small external fields we found that vacuum expectation value can be separated into a part from donaldson theory a part from abelian monopole theory and a part from non abelian monopole theory  as a by product we find identities of u 1 topological invariants in our proof the duality relation and higgs mechanism are not necessary , reducible connections in massless topological qcd and 4 manifolds,Algebraic Geometry
 geometry of dynamics and phase transitions in classical lattice phi 4 theories  we perform a microcanonical study of classical lattice phi 4 field models in 3 dimensions with o n symmetries the hamiltonian flows associated to these systems that undergo a second order phase transition in the thermodynamic limit are here investigated the microscopic hamiltonian dynamics neatly reveals the presence of a phase transition through the time averages of conventional thermodynamical observables moreover peculiar behaviors of the largest lyapunov exponents at the transition point are observed a riemannian geometrization of hamiltonian dynamics is then used to introduce other relevant observables that are measured as functions of both energy density and temperature on the basis of a simple and abstract geometric model we suggest that the apparently singular behaviour of these geometric observables might probe a major topological change of the manifolds whose geodesics are the natural motions , geometry of dynamics and phase transitions in classical lattice phi 4 theories ,"Statistical Mechanics, Chaotic"
 the ruijsenaars schneider model we seek to clarify some of the physical aspects of the ruijsenaars schneider models this important class of models was presented as a relativistic generalisation of the calogero moser models but as we shall argue this description is misleading it is far better to simply view the models as a one parameter generalisation of calogero moser models by viewing the models as describing certain eigenvalue motions we can appreciate the generic nature of the models , the ruijsenaars schneider model,Exactly Solvable and Integrable
 quantum fields at any time the canonical quantum theory of a free field using arbitrary foliations of a flat two dimensional spacetime is investigated it is shown that dynamical evolution along arbitrary spacelike foliations is unitarily implemented on the same fock space as that associated with inertial foliations it follows that the schrodinger picture exists for arbitrary foliations as a unitary image of the heisenberg picture for the theory an explicit construction of the schrodinger picture image of the heisenberg fock space states is provided the results presented here can be interpreted in terms of a dirac constraint quantization of parametrized field theory in particular it is shown that the schrodinger picture physical states satisfy a functional schrodinger equation which includes a slice dependent c number quantum correction in accord with a proposal of kuchar the spatial diffeomorphism invariance of the schrodinger picture physical states is established fundamental difficulties arise when trying to generalize these results to higher dimensional spacetimes , quantum fields at any time,Mathematical Physics
 multicritical microscopic spectral correlators of hermitian and complex matrices we find the microscopic spectral densities and the spectral correlators associated with multicritical behavior for both hermitian and complex matrix ensembles and show their universality we conjecture that microscopic spectral densities of dirac operators in certain theories without spontaneous chiral symmetry breaking may belong to these new universality classes , multicritical microscopic spectral correlators of hermitian and complex matrices,Statistical Mechanics
 exact two point correlation functions of turbulence without pressure in three dimensions we investigate exact results of isotropic turbulence in three dimensions when the pressure gradient is negligible we derive exact two point correlation functions of density in three dimensions and show that the density density correlator behaves as   x 1  x 2   alpha 3  where  alpha 3  2   frac sqrt 33  6  it is shown that in three dimensions the energy spectrum e k  in the inertial range scales with exponent  2  frac  sqrt 33  12  simeq 1 5212  we also discuss the time scale for which our exact results are valid for strong 3d turbulence in the presence of the pressure we confirm our predictions by using the recent results of numerical calculations and experiment , exact two point correlation functions of turbulence without pressure in three dimensions,Chaotic Dynamics
 free field construction for correlation functions of the eight vertex model  a free field representation for the type i vertex operators and the corner transfer matrices of the eight vertex model is proposed the construction uses the vertex face correspondence which makes it possible to express correlation functions of the eight vertex model in terms of correlation functions of the sos model with a nonlocal insertion this new nonlocal insertion admits of a free field representation in terms of lukyanov s screening operator the spectrum of the corner transfer matrix and the baxter kelland formula for the average staggered polarization have been reproduced , free field construction for correlation functions of the eight vertex model ,"Quantum Algebra, Exactly Solvable and"
 is there chaos in string cosmology  bianchi type ix  mixmaster universes are investigated in low energy effective action string cosmology we show that unlike in general relativity there is no chaos in these string cosmologies for the case of the tree level action the characteristic mixmaster evolution through a series of kasner epochs is studied in detail in the einstein frame an infinite sequence of chaotic oscillations of the scale factors on approach to the initial singularity is impossible as it was in general relativistic mixmaster universes in the presence of a massless scalar field  a finite sequence of oscillations of the scale factors described by approximate kasner metrics is possible but it always ceases when all expansion rates become positive in the string frame the evolution through kasner epochs changes to a new form which reflects the duality symmetry of the theory again  we show that chaotic oscillations must end after a finite time the need for duality symmetry appears to be incompatible with the presence of chaotic behaviour as t to 0  we also obtain our results using the hamiltonian qualitative cosmological picture for mixmaster models we also prove that a time independent pseudoscalar axion field h is not admitted by the bianchi ix geometry , is there chaos in string cosmology ,Chaotic Dynamics
 quantum cohomology and virasoro algebra we propose that the virasoro algebra controls quantum cohomologies of general fano manifolds m  c 1 m 0  and determines their partition functions at all genera we construct virasoro operators in the case of complex projective spaces and show that they reproduce the results of kontsevich manin getzler etc on the genus 0 1 instanton numbers we also construct virasoro operators for a wider class of fano varieties the central charge of the algebra is equal to  chi m  the euler characteristic of the manifold m , quantum cohomology and virasoro algebra,Algebraic Geometry
 bell s inequality the pauli exclusion principle and baryonic structure  bell s inequality has been traditionally used to explore the relationship between hidden variables and the copenhagen interpretation of quantum mechanics in this paper another use is found bell s inequality is used to derive a coupling principle for elementary particles and to give a deeper understanding of baryonic structure we also give a derivation of the pauli exclusion principle from the coupling principle pacs 14 20 c 12 90 b  3 65 bz 12 40 ee, bell s inequality the pauli exclusion principle and baryonic structure ,"Data Analysis, Statistics and"
 local cohomology in field theory with applications to the einstein equations  this is an introductory survey of the theory of p form conservation laws in field theory it is based upon a series of lectures given at the second mexican school on gravitation and mathematical physics held in tlaxcala mexico from december 1 7 1996 proceedings available online at http  kaluza physik uni konstanz de 2ms procmain html , local cohomology in field theory with applications to the einstein equations ,Mathematical Physics
 universal spectral correlations of the dirac operator at finite temperature using the graded eigenvalue method and a recently computed extension of the itzykson zuber integral to complex matrices we compute the k point spectral correlation functions of the dirac operator in a chiral random matrix model with a deterministic diagonal matrix added we obtain results both on the scale of the mean level spacing and on the microscopic scale we find that the microscopic spectral correlations have the same functional form as at zero temperature provided that the microscopic variables are rescaled by the temperature dependent chiral condensate , universal spectral correlations of the dirac operator at finite temperature,Statistical Mechanics
 simplified calculation of boundary s matrices the antiferromagnetic heisenberg spin chain with n spins has a sector with n odd in which the number of excitations is odd in particular there is a state with a single one particle excitation we exploit this fact to give a simplified derivation of the boundary s matrix for the open antiferromagnetic spin 1 2 heisenberg spin chain with diagonal boundary magnetic fields , simplified calculation of boundary s matrices,Exactly Solvable and Integrable
 hidden algebras of the super calogero and sutherland models  we propose to parametrize the configuration space of one dimensional quantum systems of n identical particles by the elementary symmetric polynomials of bosonic and fermionic coordinates it is shown that in this parametrization the hamiltonians of the a n bc n b n c n and d n calogero and sutherland models  as well as their supersymmetric generalizations can be expressed  for arbitrary values of the coupling constants  as quadratic polynomials in the generators of a borel subalgebra of the lie algebra gl n 1 or the lie superalgebra gl n 1 n for the supersymmetric case these algebras are realized by first order differential operators this fact establishes the exact solvability of the models according to the general definition given by one of the authors in 1994 and implies that the calogero and jack sutherland polynomials as well as their supersymmetric generalizations are related to finite dimensional irreducible representations of the lie algebra gl n 1 and the lie superalgebra gl n 1 n , hidden algebras of the super calogero and sutherland models ,"Quantum Algebra, Exactly Solvable and"
 the n 2 supersymmetric toda lattice and matrix models we propose a new integrable n 2 supersymmetric toda lattice hierarchy which may be relevant for constructing a supersymmetric one matrix model we define its first two hamiltonian structures the recursion operator and lax pair representation we provide partial evidence for the existence of an infinite dimensional n 2 superalgebra of its flows we study its bosonic limit and introduce new lax pair representations for the bosonic toda lattice hierarchy finally we discuss the relevance this approach for constructing n 2 supersymmetric generalized toda lattice hierarchies , the n 2 supersymmetric toda lattice and matrix models,Exactly Solvable and Integrable
 form factors of exponential fields in the affine a  1  n 1 toda model  free field representation for form factors of exponential operators in the affine a  1  n 1 toda model is proposed the one and two particle form factors are calculated explicitly, form factors of exponential fields in the affine a  1  n 1 toda model,Quantum Algebra
 integrable dissipative structures in the gauge theory of gravity the jackiw teitelboim gauge formulation of the 1 1 dimensional gravity allows us to relate different gauge fixing conditions with integrable hierarchies of evolution equations we show that the equations for the zweibein fields can be written as a pair of time reversed evolution equations of the reaction diffusion type admitting dissipative solutions the spectral parameter for the related lax pair appears as the constant valued spin connection associated with the so 1 1  gauge symmetry spontaneous breaking of the non compact symmetry and the irreversible evolution are discussed , integrable dissipative structures in the gauge theory of gravity,Exactly Solvable and Integrable
 the semi infinite cohomology of affine lie algebras we study in detail the semi infinite or brst cohomology of general affine lie algebras this cohomology is relevant in the brst approach to gauged wznw models we prove the existence of an infinite sequence of elements in the cohomology for non zero ghost numbers this will imply that the brst approach to topological wznw model admits many more states than a conventional coset construction this conclusion also applies to some non topological models our work will also contain results on the structure of verma modules over affine lie algebras in particular we generalize the results of verma and bernstein gel fand gel fand for finite dimensional lie algebras on the structure and multiplicities of verma modules , the semi infinite cohomology of affine lie algebras,Quantum Algebra
 duality in potential curve crossing application to quantum coherence a field dependent su 2  gauge transformation connects between the adiabatic and diabatic pictures in the landau zener stueckelberg potential curve crossing problem it is pointed out that weak and strong potential curve crossing interactions are interchanged under this transformation and thus realizing a naive strong and weak duality a reliable perturbation theory should thus be formulated in the both limits of weak and strong interactions  in fact main characteristics of the potential crossing phenomena such as the landau zener formula including its numerical coefficient are well described by simple time independent perturbation theory without referring to stokes phenomena we also show that quantum coherence in a double well potential is generally suppressed by the effect of potential curve crossing which is analogous to the effect of ohmic dissipation on quantum coherence , duality in potential curve crossing application to quantum coherence,Chemical Physics
 higher dimensional generalisations of the euler top equations generalisations of the familiar euler top equations in three dimensions are proposed which admit a sufficiently large number of conservation laws to permit integrability by quadratures the usual top is a classical analogue of the nahm equations one of the examples discussed here is a seven dimensional euler top  which arises as a classical counterpart to the eight dimensional self dual equations which are currently believed to play a role in new developments in string theory , higher dimensional generalisations of the euler top equations,Exactly Solvable and Integrable
 moving frames hierarchy and bf theory we show that the one dimensional projection of chern simons gauged nonlinear schrodinger model is equivalent to an abelian gauge field theory of continuum heisenberg spin chain in such a theory the matter field has geometrical meaning of coordinates in tangent plane to the spin phase space while the u 1  gauge symmetry relates to rotation in the plane this allows us to construct the infinite hierarchy of integrable gauge theories and corresponding magnetic models to each of them a u 1 invariant gauge fixing constraint of non abelian bf theory is derived the corresponding moving frames hierarchy is obtained and the spectral parameter is interpreted as a constant valued statistical gauge potential constrained by the 1 cocycle condition , moving frames hierarchy and bf theory,Exactly Solvable and Integrable
 degeneration of the elliptic algebra a q p  widehat sl 2  and form factors in the sine gordon theory  following the work with jimbo and miwa we introduce a certain degeneration of the elliptic algebra a q p  widehat sl 2  and its boson realization we investigate its rational limit the limit is the central extension of the yangian double dy sl 2 at level one we give a new boson realization of it  based on these algebras we reformulate the smirnov s form factor bootstrap approach to the sine gordon theory and the su 2 invariant thirring model a conjectural integral formula for form factor in the sine gordon theory is derived , degeneration of the elliptic algebra a q p  widehat sl 2  and form factors in the sine gordon theory ,Quantum Algebra
 high speed contraction of transverse rotations to gauge transformations the inonu wigner contraction is applied to special relativity and the little groups of the lorentz group if the o 3 symmetry group for massive particle is boosted to an infinite momentum frame it becomes contracted to a combination of the cylindrical group and the two dimensional euclidean group the euclidean component becomes the lorentz condition applicable to the electromagnetic four potential and the cylindrical component leads to the helicity and gauge degrees of freedom the rotation around the cylindrical axis corresponds to the helicity while the translation parallel to the axis on the cylindrical surface leads to a gauge transformation , high speed contraction of transverse rotations to gauge transformations,Quantum Algebra
 thermal instabilities and the  g  theorem  we clarify the recent proposal that the vacuum degeneracy  g  of a noncompact worldsheet sigma model with a continuous spectrum of scaling dimensions is lowered under renormalization group flow while preserving the central charge  as an illustration we show that a relevant flow of the worldsheet rg induced by a thermal perturbation of the unstable thermal vacuum of the type ii string is the noncompact supersymmetric vacuum with lower  g  our analysis provides nonperturbative confirmation of a conjecture due to adams polchinski and silverstein aps and its extension in the work of harvey kutasov martinec  and moore hkmm , thermal instabilities and the  g  theorem ,Statistical Mechanics
 internal space time symmetries of massless particles and neutrino polarization as a consequence of gauge invariance there are gauge transformation operators applicable to massless spin 1 2 particles within the little group framework of internal space time symmetries of massive and massless particles it is shown that two of the sl 2 c  spinors are invariant under gauge transformations while the remaining two are not the dirac equation contains only the gauge invariant spinors leading to polarized neutrinos it is shown that the gauge dependent sl 2 c  spinor is the origin of the gauge dependence of electromagnetic four potentials it is noted also that for spin 1 2 particles the symmetry group for massless particles is an infinite momentum zero mass limit of the symmetry group for massive particles , internal space time symmetries of massless particles and neutrino polarization as a consequence of gauge invariance,Mathematical Physics
 strings on plane waves super yang mills in four dimensions quantum groups at roots of one  we show that the bmn operators in d 4 n 4 super yang mills theory proposed as duals of stringy oscillators in a plane wave background have a natural quantum group construction in terms of the quantum deformation of the so 6  r  symmetry we describe in detail how a q deformed u 2 subalgebra generates bmn operators with  q sim e 2 i pi over j  the standard quantum co product as well as generalized traces which use q cyclic operators acting on tensor products of higgs fields are the ingredients in this construction they generate the oscillators with the correct undeformed permutation symmetries of fock space oscillators the quantum group can be viewed as a spectrum generating algebra and suggests that correlators of bmn operators should have a geometrical meaning in terms of spaces with quantum group symmetry , strings on plane waves super yang mills in four dimensions quantum groups at roots of one ,Quantum Algebra
 explicit factorization of seiberg witten curves with matter from random matrix models within the dijkgraaf vafa correspondence we study the complete factorization of the seiberg witten curve for u n c gauge theory with n f n c massive flavors we obtain explicit expressions from random matrix theory for the moduli parametrizing the curve these moduli characterize the submanifold of the coulomb branch where all monopoles become massless we find that the matrix model reveals some nontrivial structures of the gauge theory in particular the moduli are additive with respect to adding extra matter and increasing the number of colors , explicit factorization of seiberg witten curves with matter from random matrix models,Mathematical Physics
 integrability in sft and new representation of kp tau function e are investigating the properties of vacuum and boundary states in the cft of free bosons under the conformal transformation we show that transformed vacuum boundary state is given in terms of tau functions of dispersionless kp  toda hierarchies applications of this approach to string field theory is considered we recognize in neumann coefficients the matrix of second derivatives of tau function of dispersionless kp and identify surface states with the conformally transformed vacuum of free field theory, integrability in sft and new representation of kp tau function,Exactly Solvable and Integrable
 algebra of chiral currents on the physical surface using a particular structure for the lagrangian action in a one dimensional thirring model and performing the dirac s procedure we are able to obtain the algebra for chiral currents which is entirely defied on the constraint surface in the corresponding hamiltonian description of the theory , algebra of chiral currents on the physical surface,Materials Science
 study of the 2d ising model with mixed perturbation we study the thermodynamical observables of the 2d ising model in the neighborhood of the magnetic axis by means of numerical diagonalization of the transfer matrix in particular we estimate the leading order corrections to the zamolodchikov mass spectrum and find evidence of non vanishing contributions due to the stress energy tensor , study of the 2d ising model with mixed perturbation,Statistical Mechanics
 the principle of the fermionic projector iii normalization of the fermionic states  the normalization of the states of the fermionic projector is analyzed by considering the system in finite 4 volume and taking the infinite volume limit  it is made precise what  idempotence  of the fermionic projector means it is shown that for each fermionic state the probability integral has a well defined infinite volume limit , the principle of the fermionic projector iii normalization of the fermionic states ,Mathematical Physics
 marginally stable topologically non trivial solitons in the gross neveu model we show that a kink and a topologically trivial soliton in the gross neveu model form in the large n limit a marginally stable static configuration  which is bound at threshold the energy of the resulting composite system does not depend on the separation of its solitonic constituents which serves as a modulus governing the profile of the compound soliton thus in the large n limit a kink and a non topological soliton exert no force on each other , marginally stable topologically non trivial solitons in the gross neveu model,Mathematical Physics
 gerbes  twisted k theory and the supersymmetric wzw model  the aim of this talk is to explain how symmetry breaking in a quantum field theory problem leads to a study of projective bundles dixmier douady classes  and associated gerbes a gerbe manifests itself in different equivalent ways  besides the cohomological description as a dd class it can be defined in terms of a family of local line bundles or as a prolongation problem for an  infinite dimensional principal bundle with the fiber consisting of a subgroup of projective unitaries in a hilbert space the prolongation aspect is directly related to the appearance of central extensions of broken  symmetry groups we also discuss the construction of twisted k theory classes by families of supercharges for the supersymmetric wess zumino witten model , gerbes  twisted k theory and the supersymmetric wzw model ,Differential Geometry
 microcausality and energy positivity in all frames imply lorentz invariance of dispersion laws a new presentation of the borchers buchholz result of the lorentz invariance of the energy momentum spectrum in theories with broken lorentz symmetry is given in terms of properties of the green s functions of microcausal bose and fermi fields strong constraints based on complex geometry phenomenons are shown to result from the interplay of the basic principles of causality and stability in quantum field theory if microcausality and energy positivity in all lorentz frames are satisfied then it is unavoidable that all stable particles of the theory be governed by lorentz invariant dispersion laws in all the field sectors discrete parts outside the continuum as well as the thresholds of the continuous parts of the energy momentum spectrum with possible holes inside it are necessarily represented by mass shell hyperboloids or the light cone  no violation of this geometrical fact can be produced by spontaneous breaking of the lorentz symmetry even if the field theoretical framework is enlarged so as to include short distance singularities wilder than distributions , microcausality and energy positivity in all frames imply lorentz invariance of dispersion laws,Mathematical Physics
 geometric transitions del pezzo surfaces and open string instantons  we continue the study of a class of geometric transitions proposed by aganagic and vafa which exhibit open string instanton corrections to chern simons theory in this paper we consider an extremal transition for a local del pezzo model which predicts a highly nontrivial relation between topological open and closed string amplitudes we show that the open string amplitudes can be computed exactly using a combination of enumerative techniques and chern simons theory proposed by witten some time ago this yields a striking conjecture relating the topological amplitudes of all genus of the local del pezzo model to a system of coupled chern simons theories, geometric transitions del pezzo surfaces and open string instantons ,"Algebraic Geometry, Symplectic"
 on the existence of minima in the skyrme model well separated skyrme solitons of arbitrary degree attract after a suitable relative rotation in space and iso space provided the orders of the solitons  leading multipoles do not differ by more than two i summarise the derivation of this result obtained jointly with manton and singer and discuss to what extent its combination with earlier results of esteban allows one to deduce the existence of minima of the skyrme energy functional , on the existence of minima in the skyrme model,Mathematical Physics
 noncommutative gerbes and deformation quantization  we define noncommutative gerbes using the language of star products  quantized twisted poisson structures are discussed as an explicit realization in the sense of deformation quantization our motivation is the noncommutative description of d branes in the presence of topologically non trivial background fields, noncommutative gerbes and deformation quantization ,"Quantum Algebra, Symplectic Geometry"
 g structures and wrapped ns5 branes we analyse the geometrical structure of supersymmetric solutions of type ii supergravity of the form r 1 9 n x m n with non trivial ns flux and dilaton  solutions of this type arise naturally as the near horizon limits of wrapped ns fivebrane geometries we concentrate on the case d 7 preserving two or four supersymmetries corresponding to branes wrapped on associative or slag three cycles given the existence of killing spinors we show that m 7 admits a g 2 structure or an su 3 structure respectively of specific type we also prove the converse result we use the existence of these geometric structures as a new technique to derive some known and new explicit solutions as well as a simple theorem implying that we have vanishing ns three form and constant dilaton whenever m 7 is compact with no boundary the analysis extends simply to other type ii examples and also to type i supergravity , g structures and wrapped ns5 branes,Differential Geometry
 field theory results for three dimensional transitions with complex symmetries we discuss several examples of three dimensional critical phenomena that can be described by landau ginzburg wilson  phi 4 theories we present an overview of field theoretical results obtained from the analysis of high order perturbative series in the frameworks of the  epsilon and of the fixed dimension d 3 expansions in particular we discuss the stability of the o n symmetric fixed point in a generic n component theory the critical behaviors of randomly dilute ising like systems and frustrated spin systems with noncollinear order the multicritical behavior arising from the competition of two distinct types of ordering with symmetry o n 1  and o n 2  respectively , field theory results for three dimensional transitions with complex symmetries,Statistical Mechanics
 m theory on manifolds of g 2  holonomy the first twenty years  in 1981 covariantly constant spinors were introduced into kaluza klein theory as a way of counting the number of supersymmetries surviving compactification these are related to the  it holonomy group of the compactifying manifold the first non trivial example was provided in 1982 by d 11 supergravity on the squashed s 7  whose g 2  holonomy yields n 1 in d 4 in 1983 another example was provided by d 11 supergravity on k3  whose su 2 holonomy yields half the maximum supersymmetry in 2002  g 2  and k3  manifolds continue to feature prominently in the full d 11 m theory and its dualities in particular singular g 2  compactifications can yield chiral  n 1 d 4  models with realistic gauge groups the notion of generalized holonomy is also discussed , m theory on manifolds of g 2  holonomy the first twenty years ,"Mathematical Physics, History of"
 asymptotic interactions of critically coupled vortices at critical coupling the interactions of ginzburg landau vortices are determined by the metric on the moduli space of static solutions the asymptotic form of the metric for two well separated vortices is shown here to be expressible in terms of a bessel function a straightforward extension gives the metric for n vortices the asymptotic metric is also shown to follow from a physical model where each vortex is treated as a point like particle carrying a scalar charge and a magnetic dipole moment of the same magnitude the geodesic motion of two well separated vortices is investigated and the asymptotic dependence of the scattering angle on the impact parameter is determined formulae for the asymptotic ricci and scalar curvatures of the n vortex moduli space are also obtained , asymptotic interactions of critically coupled vortices,Differential Geometry
 spontaneous breaking of diffeomorphism invariance in matrix theory he results in this note are now summarized and included in hep th 0210134 where an extended discussion is given and new results appear, spontaneous breaking of diffeomorphism invariance in matrix theory,Mathematical Physics
 electromagnetic field from the skyrme term we consider the model of topological fermions allowing for solitons with integer multiples of elementary electric charges only in the electromagnetic limit the lagrangean reduces to the skyrme term of the skyrme model with two degrees of freedom only two goldstone bosons corresponding to two polarisations of photons we derive the equations of motion and discuss their relations with maxwell s equations it is shown that coulomb and lorentz forces are a consequence of topology further we relate the u 1 gauge invariance of electrodynamics to the geometry of the soliton field give a general relation for the derivation of the soliton field from the field strength tensor in electrodynamics and use this relation to express homogeneous electric fields in terms of the soliton field , electromagnetic field from the skyrme term,Optics
 a sufficient criterion for integrability of stochastic many body dynamics and quantum spin chains we propose a dynamical matrix product ansatz describing the stochastic dynamics of two species of particles with excluded volume interaction and the quantum mechanics of the associated quantum spin chains respectively analyzing consistency of the time dependent algebra which is obtained from the action of the corresponding markov generator we obtain sufficient conditions on the hopping rates for identifing the integrable models from the dynamical algebra we construct the quadratic algebra of zamolodchikov type associativity of which is a yang baxter equation the bethe ansatz equations for the spectra are obtained directly from the dynamical matrix product ansatz , a sufficient criterion for integrability of stochastic many body dynamics and quantum spin chains,Statistical Mechanics
 singular centre in quantum mechanics as a black hole we consider the radial schroedinger equation with an attractive potential singular in the origin the additional continuum of states caused by the singularity that usually remain nontreatable are shown to correspond to particles asymptotically free near the singularity in the inner channel  depending on kinematics they are either confined by the centre or may escape to infinity to the outer channel    the orthonormality within the continuum of confined states is established and the scattering phase of the particle emitted by the centre and then reflected back to it is found    for the deconfinement case a unitary 2x2 s matrix is found in terms of the jost functions and describes transitions within and between the two channels  the volume elements in the two channels are different    the two channel situation is analogous to the known behaviour of radiation in the black hole metrics we discuss the black hole essence of singularly attracting centre for classical motion and the relativity of time inherent to this problem , singular centre in quantum mechanics as a black hole,Mathematical Physics
 the geometry of d 11 killing spinors we propose a way to classify all supersymmetric configurations of d 11 supergravity using the g structures defined by the killing spinors we show that the most general bosonic geometries admitting a killing spinor have at least a local su 5 or an spin 7 ltimes r 8 x r structure depending on whether the killing vector constructed from the killing spinor is timelike or null respectively in the former case we determine what kind of local su 5  structure is present and show that almost all of the form of the geometry is determined by the structure we also deduce what further conditions must be imposed in order that the equations of motion are satisfied we illustrate the formalism with some known solutions and also present some new solutions including a rotating generalisation of the resolved membrane solutions and generalisations of the recently constructed d 11 godel solution , the geometry of d 11 killing spinors,Differential Geometry
 lightfront holography and area density of entropy associated with localization on wedge horizons it is shown that a suitably formulated algebraic lightfront holography in which the lightfront is viewed as the linear extension of the upper causal horizon of a wedge region is capable of overcoming the shortcomings of the old lightfront quantization the absence of transverse vacuum fluctuations which this formalism reveals is responsible for an area edge of the wedge  rearrangement of degrees of freedom which in turn leads to the notion of area density of entropy for a  split localization  this area proportionality of horizon associated entropy has to be compared to the volume dependence of ordinary heat bath entropy the desired limit in which the split distance vanishes and the localization on the horizon becomes sharp can at most yield a relative area density which measures the ratio of area densities for different quantum matter in order to obtain a normalized area density one needs the unknown analog of a second fundamental law of thermodynamics for thermalization caused by vacuum fluctuation through localization on causal horizons this is similar to the role of the classical gibbs form of that law which relates bekenstein s classical area formula with the hawking quantum mechanism for thermalization from black holes pacs 11 10 z 11 30 j 11 55 m, lightfront holography and area density of entropy associated with localization on wedge horizons,Mathematical Physics
 penrose limits and maximal supersymmetry we show that the maximally supersymmetric pp waves of iib superstring and m theories can be obtained as a penrose limit of the supersymmetric ads x s solutions in addition we find that in a certain large tension limit the geometry seen by a brane probe in an ads x s background is either minkowski space or a maximally supersymmetric pp wave , penrose limits and maximal supersymmetry,Differential Geometry
